iso3,year0,year1,broad_sector,employment_share_0,employment_share_1,productivity_0,productivity_1,within,structural_change
AGO,2002,2017,Agriculture,0.36960761014946547,0.4980233099167362,129.44989615142111,151.00077744833035,7.965369732765437,19.39087050142926
AGO,2002,2017,Manufacturing,0.08769634761684987,0.07917284526811676,4184.59057855477,5567.689258191111,121.29270259779459,-47.45621246920806
AGO,2002,2017,Services,0.5426960422336845,0.422803844815147,594.0415484233574,899.6829351958185,165.87037094422942,-107.86496408058636
BFA,1970,2017,Agriculture,0.8837119511980641,0.47851174828427756,68.13530337523022,359.4962719395044,257.4791700328926,-145.66796233663698
BFA,1970,2017,Manufacturing,0.035348150522756756,0.24793871786406496,1983.5761230469593,692.2855996780291,-45.6447317886543,147.17338839777
BFA,1970,2017,Services,0.08093989827917909,0.2735495338516575,901.850043162389,1268.6537839487642,29.689057467671574,244.35494299401722
BWA,1968,2017,Agriculture,0.6397503575885265,0.23173857003797782,11.261145578080084,9.541860882775683,-1.0999129986174712,-3.893191715339963
BWA,1968,2017,Manufacturing,0.05120582255422587,0.1668842528317803,141.08020660104492,183.81175013177432,2.188103835502708,21.26305472181371
BWA,1968,2017,Services,0.3090438198572476,0.6013771771302419,28.141558230792203,132.57575650021136,32.27474355691045,38.75631599071377
CMR,1965,2017,Agriculture,0.7939581091054317,0.6540091831094359,57.36754574026397,445.5182133147381,308.1753700754405,-62.34979546505257
CMR,1965,2017,Manufacturing,0.06650137744639865,0.0936198049346878,2047.4206132727109,4192.544488775444,142.65369251408873,113.69521371028316
CMR,1965,2017,Services,0.13954051344816953,0.2523710119558763,1963.6634618270443,2583.497500624841,86.49196002649718,291.4973108889153
DZA,1999,2017,Agriculture,0.22020795731242815,0.09386400728512656,398.39579442177484,1470.3892746905851,236.06149454223547,-185.7747890421875
DZA,1999,2017,Manufacturing,0.2318455391745847,0.29406021395816623,3110.897599428116,2148.8675172075814,-223.04238311458988,133.69109373607196
DZA,1999,2017,Services,0.5479465035129872,0.6120757787567073,694.6192758239049,1033.6705755512276,185.7819741971203,66.28854485085917
EGY,1960,2017,Agriculture,0.6225084907155941,0.2504001618706175,5.081820153370259,28.776655241348823,14.750236028372438,-10.708033091606348
EGY,1960,2017,Manufacturing,0.10043264032153938,0.2509096167061576,38.266271720249875,64.1863556078189,2.603222462184348,9.658568717012471
EGY,1960,2017,Services,0.2770588689628665,0.49869022142322494,9.792315362862745,54.06897712490582,12.267241829243055,11.983380526341058
ETH,1961,2017,Agriculture,0.9545003291855481,0.6707496383363769,6.686133601502952,7.621517526996861,0.8928242647988062,-2.1626108636044257
